YEAR,MO,DY,HR,WS10M
2023,2,7,21,3.42
2023,2,7,22,2.37
2023,2,7,23,1.75
2023,2,8,0,1.57
2023,2,8,1,1.39
2023,2,8,2,1.23
2023,2,8,3,1.21
2023,2,8,4,1.29
2023,2,8,5,1.61
2023,2,8,6,1.61
2023,2,8,7,1.55
2023,2,8,8,1.46
2023,2,8,9,1.58
2023,2,8,10,1.64
2023,2,8,11,2.14
2023,2,8,12,3.54
2023,2,8,13,4.54
2023,2,8,14,4.93
2023,2,8,15,4.76
2023,2,8,16,4.47
2023,2,8,17,4.19
2023,2,8,18,4.07
2023,2,8,19,3.97
2023,2,8,20,3.71
2023,2,8,21,3.19
2023,2,8,22,2.11
2023,2,8,23,1.53
2023,2,9,0,1.34
2023,2,9,1,1.34
2023,2,9,2,1.36
2023,2,9,3,1.18
2023,2,9,4,1.16
2023,2,9,5,1.2
2023,2,9,6,1.19
2023,2,9,7,1.23
2023,2,9,8,1.21
2023,2,9,9,1.08
2023,2,9,10,1.04
2023,2,9,11,1.1
2023,2,9,12,2.28
2023,2,9,13,3.3
2023,2,9,14,3.75
2023,2,9,15,3.96
2023,2,9,16,4.02
2023,2,9,17,4.12
2023,2,9,18,4.19
2023,2,9,19,4.14
2023,2,9,20,3.89
2023,2,9,21,3.41
2023,2,9,22,2.46
2023,2,9,23,1.53
2023,2,10,0,1.4
2023,2,10,1,1.42
2023,2,10,2,1.42
2023,2,10,3,1.38
2023,2,10,4,1.4
2023,2,10,5,1.54
2023,2,10,6,1.74
2023,2,10,7,1.75
2023,2,10,8,1.89
2023,2,10,9,1.8
2023,2,10,10,1.74
2023,2,10,11,1.81
2023,2,10,12,2.96
2023,2,10,13,3.93
2023,2,10,14,4.06
2023,2,10,15,4.18
2023,2,10,16,4.35
2023,2,10,17,4.47
2023,2,10,18,4.44
2023,2,10,19,4.3
2023,2,10,20,4.04
2023,2,10,21,3.55
2023,2,10,22,2.54
2023,2,10,23,1.77
2023,2,11,0,1.68
2023,2,11,1,1.61
2023,2,11,2,1.46
2023,2,11,3,1.34
2023,2,11,4,1.36
2023,2,11,5,1.41
2023,2,11,6,1.41
2023,2,11,7,1.51
2023,2,11,8,1.55
2023,2,11,9,1.59
2023,2,11,10,1.74
2023,2,11,11,2.15
2023,2,11,12,3.38
2023,2,11,13,3.9
2023,2,11,14,4.15
2023,2,11,15,4.32
2023,2,11,16,4.52
2023,2,11,17,4.67
2023,2,11,18,4.65
2023,2,11,19,4.4
2023,2,11,20,3.96
2023,2,11,21,3.41
2023,2,11,22,2.47
2023,2,11,23,1.59
2023,2,12,0,1.53
2023,2,12,1,1.33
2023,2,12,2,1.07
2023,2,12,3,0.98
2023,2,12,4,0.98
2023,2,12,5,1.08
2023,2,12,6,1.16
2023,2,12,7,1.11
2023,2,12,8,1.23
2023,2,12,9,1.39
2023,2,12,10,1.51
2023,2,12,11,1.9
2023,2,12,12,3.37
2023,2,12,13,4.35
2023,2,12,14,4.3
2023,2,12,15,4.31
2023,2,12,16,4.34
2023,2,12,17,4.32
2023,2,12,18,4.29
2023,2,12,19,4.19
2023,2,12,20,3.95
2023,2,12,21,3.51
2023,2,12,22,2.5
2023,2,12,23,1.71
2023,2,13,0,1.66
2023,2,13,1,1.49
2023,2,13,2,1.15
2023,2,13,3,0.99
2023,2,13,4,0.88
2023,2,13,5,0.83
2023,2,13,6,1.04
2023,2,13,7,1.22
2023,2,13,8,1.23
2023,2,13,9,1.27
2023,2,13,10,1.27
2023,2,13,11,1.47
2023,2,13,12,2.61
2023,2,13,13,3.34
2023,2,13,14,3.48
2023,2,13,15,3.73
2023,2,13,16,4.18
2023,2,13,17,4.49
2023,2,13,18,4.56
2023,2,13,19,4.35
2023,2,13,20,4.16
2023,2,13,21,3.85
2023,2,13,22,2.77
2023,2,13,23,1.75
2023,2,14,0,1.61
2023,2,14,1,1.6
2023,2,14,2,1.44
2023,2,14,3,1.24
2023,2,14,4,1.23
2023,2,14,5,1.3
2023,2,14,6,1.33
2023,2,14,7,1.41
2023,2,14,8,1.55
2023,2,14,9,1.62
2023,2,14,10,1.4
2023,2,14,11,1.64
2023,2,14,12,2.61
2023,2,14,13,3.18
2023,2,14,14,3.42
2023,2,14,15,3.83
2023,2,14,16,4.29
2023,2,14,17,4.47
2023,2,14,18,4.44
2023,2,14,19,4.29
2023,2,14,20,4.02
2023,2,14,21,3.49
2023,2,14,22,2.61
2023,2,14,23,1.96
2023,2,15,0,1.95
2023,2,15,1,1.89
2023,2,15,2,1.99
2023,2,15,3,1.91
2023,2,15,4,1.79
2023,2,15,5,1.55
2023,2,15,6,1.42
2023,2,15,7,1.43
2023,2,15,8,1.39
2023,2,15,9,1.34
2023,2,15,10,1.41
2023,2,15,11,1.83
2023,2,15,12,2.81
2023,2,15,13,3.49
2023,2,15,14,4.02
2023,2,15,15,4.21
2023,2,15,16,4.31
2023,2,15,17,4.51
2023,2,15,18,4.69
2023,2,15,19,4.69
2023,2,15,20,4.5
2023,2,15,21,3.89
2023,2,15,22,2.7
2023,2,15,23,2.1
2023,2,16,0,1.94
2023,2,16,1,1.89
2023,2,16,2,1.95
2023,2,16,3,2.02
2023,2,16,4,2.16
2023,2,16,5,2.26
2023,2,16,6,2.3
2023,2,16,7,2.33
2023,2,16,8,2.37
2023,2,16,9,2.1
2023,2,16,10,1.94
2023,2,16,11,2.24
2023,2,16,12,3.49
2023,2,16,13,4.42
2023,2,16,14,4.72
2023,2,16,15,4.77
2023,2,16,16,4.77
2023,2,16,17,4.87
2023,2,16,18,4.64
2023,2,16,19,3.92
2023,2,16,20,3.37
2023,2,16,21,2.95
2023,2,16,22,2.25
2023,2,16,23,1.98
2023,2,17,0,1.85
2023,2,17,1,1.47
2023,2,17,2,0.99
2023,2,17,3,0.88
2023,2,17,4,0.73
2023,2,17,5,0.67
2023,2,17,6,0.63
2023,2,17,7,0.64
2023,2,17,8,0.88
2023,2,17,9,1.09
2023,2,17,10,1.23
2023,2,17,11,1.38
2023,2,17,12,2.33
2023,2,17,13,2.79
2023,2,17,14,2.73
2023,2,17,15,2.46
2023,2,17,16,2.23
2023,2,17,17,2.09
2023,2,17,18,2.08
2023,2,17,19,2.12
2023,2,17,20,2.12
2023,2,17,21,2.02
2023,2,17,22,1.82
2023,2,17,23,1.56
2023,2,18,0,1.9
2023,2,18,1,1.58
2023,2,18,2,0.97
2023,2,18,3,1.12
2023,2,18,4,1.32
2023,2,18,5,1.19
2023,2,18,6,0.96
2023,2,18,7,0.97
2023,2,18,8,1.14
2023,2,18,9,1.28
2023,2,18,10,1.35
2023,2,18,11,1.55
2023,2,18,12,2.15
2023,2,18,13,2.51
2023,2,18,14,2.62
2023,2,18,15,2.75
2023,2,18,16,2.85
2023,2,18,17,2.81
2023,2,18,18,2.8
2023,2,18,19,2.79
2023,2,18,20,2.79
2023,2,18,21,2.62
2023,2,18,22,1.96
2023,2,18,23,1.39
2023,2,19,0,1.23
2023,2,19,1,1.21
2023,2,19,2,1.17
2023,2,19,3,1.19
2023,2,19,4,1.2
2023,2,19,5,1.14
2023,2,19,6,1.04
